name,website,address,lat,lng,rating,price_level
McDonald's,www.mcdonalds.com,"2726 Broadway, New York, NY 10025",40.7998912,-73.9675866,NA,1
McDonald's,www.mcdonalds.com,"354 W. 125th St., New York, NY 10027",40.8107313,-73.9530851,2.9,1
McDonald's,www.mcdonalds.com,"26 E. 23 St., New York, NY 10010",40.740535,-73.987917,NA,1
McDonald's,www.mcdonalds.com,"139th & Adam Clayton Powell, New York, NY 10030",40.6731917,-73.7549414,3.1,1
McDonald's,www.mcdonalds.com,"724 Broadway, New York, NY 10003",40.7291149,-73.9932841,3.4,1
McDonald's,www.mcdonalds.com,"213 Madison St., New York, NY 10002",40.712947,-73.989253,1.9,1
McDonald's,www.mcdonalds.com,"946 8th Ave, New York, NY 10019",40.7658119,-73.983123,3.2,1
McDonald's,www.mcdonalds.com,"Penn Station - Lower Level, New York, NY 10119",40.7502013,-73.9931036,3.8,1
McDonald's,www.mcdonalds.com,"26 Bowery, New York, NY 10013",40.714946,-73.997283,3,NA
McDonald's,www.mcdonalds.com,"688 8th Ave., New York, NY 10036",40.7580783,-73.9888385,3.3,1
McDonald's,www.mcdonalds.com,"427 10th Ave., New York, NY 10001",40.754411,-73.999652,3.8,1
McDonald's,www.mcdonalds.com,"39 Union SQ W, New York, NY 10003",40.737081,-73.990802,2.9,1
McDonald's,www.mcdonalds.com,"1872 3rd Ave., New York, NY 10029",40.790025,-73.946204,NA,1
McDonald's,www.mcdonalds.com,"151 W. 34th St., New York, NY 10001",40.7505474,-73.9907552,3,1
McDonald's,www.mcdonalds.com,"18 E. 42nd St., New York, NY 10017",40.7529521,-73.9803375,3.2,1
McDonald's,www.mcdonalds.com,"1188 6th Ave., New York, NY 10036",40.7578032,-73.9819468,3.3,1
McDonald's,www.mcdonalds.com,"160 Broadway, New York, NY 10038",40.7094081,-74.0101118,3.2,1
McDonald's,www.mcdonalds.com,"608 West 207th St., New York, NY 10034",40.8674179,-73.9212581,3.6,1
McDonald's,www.mcdonalds.com,"102-106 1st Ave., New York, NY 10003",40.7323193,-73.9820555,3.3,1
McDonald's,www.mcdonalds.com,"2549 Broadway, New York, NY 10025",40.79443,-73.972464,2.6,1
McDonald's,www.mcdonalds.com,"600 W. 125th, New York, NY 10027",40.8159927,-73.9589499,2.6,1
McDonald's,www.mcdonalds.com,"3410 Broadway 138th St., New York, NY 10031",40.8214042,-73.9521927,1.8,1
McDonald's,www.mcdonalds.com,"686 6th Ave., New York, NY 10010",40.7419298,-73.9932998,NA,1
McDonald's,www.mcdonalds.com,"2271 Broadway, New York, NY 10024",40.7856164,-73.979078,3.3,1
McDonald's,www.mcdonalds.com,"401 Park Ave. S., New York, NY 10016",40.7429936,-73.9840302,3.1,1
McDonald's,www.mcdonalds.com,"556 7th Ave., New York, NY 10018",40.7547064,-73.9879441,2.6,1
McDonald's,www.mcdonalds.com,"79 W. 125th St., New York, NY 10027",40.8078565,-73.9450662,NA,1
McDonald's,www.mcdonalds.com,"966 3rd Ave., New York, NY 10022",40.760891,-73.967455,3.2,1
McDonald's,www.mcdonalds.com,"3809 Broadway, New York, NY 10032",40.8354032,-73.9445137,3,1
McDonald's,www.mcdonalds.com,"1499 3rd Ave, New York, NY 10028",40.777715,-73.954374,3.2,1
McDonald's,www.mcdonalds.com,"824 3rd Ave., New York, NY 10022",40.7560534,-73.9705957,3,1
McDonald's,www.mcdonalds.com,"220 W. 42nd St., New York, NY 10036",40.7563138,-73.9880799,3,1
McDonald's,www.mcdonalds.com,"969 1st Ave., New York, NY 10022",40.756099,-73.964904,NA,1
McDonald's,www.mcdonalds.com,"1997 3rd Ave., New York, NY 10029",40.793812,-73.942651,3.2,1
McDonald's,www.mcdonalds.com,"429 7th Ave., New York, NY 10001",40.7504739,-73.99058,3,1
McDonald's,www.mcdonalds.com,"52 Fulton St., New York, NY 10038",40.7083493,-74.0047739,3.3,1
McDonald's,www.mcdonalds.com,"317 Broadway, New York, NY 10007",40.7157714,-74.0052273,3,1
McDonald's,www.mcdonalds.com,"114 Delancey St., New York, NY 10002",40.718942,-73.988294,3,NA
McDonald's,www.mcdonalds.com,"1826 Eastchester Rd, New York, NY 10461",40.849337,-73.844632,NA,1
McDonald's,www.mcdonalds.com,"Terminal 4 JFK Airport, New York, NY 11430",40.6436283,-73.7820959,3.3,1
McDonald's,www.mcdonalds.com,"904 Manhattan Ave., New York, NY 11222",40.7303531,-73.9540407,2.1,1
McDonald's,www.mcdonalds.com,"444 Lenox Ave., New York, NY 10030",40.8121938,-73.9421436,NA,1
McDonald's,www.mcdonalds.com,"208 varrick St., New York, NY 10014",40.7288081,-74.0050378,2.9,1
McDonald's,www.mcdonalds.com,"2049 Broadway, New York, NY 10023",40.7779191,-73.9825668,3.4,1
McDonald's,www.mcdonalds.com,"125th St. @ Lexington Ave., New York, NY 10035",40.7979457,-73.9421124,2.4,1
McDonald's,www.mcdonalds.com,"4040 Broadway & 170, New York, NY 10033",40.8427157,-73.9390066,2.5,1
McDonald's,www.mcdonalds.com,"1871 2nd Ave., New York, NY 10029",40.784705,-73.947161,3.2,1
McDonald's,www.mcdonalds.com,"480 3rd Ave., New York, NY 10016",40.744974,-73.979084,2.9,1
McDonald's,www.mcdonalds.com,"7602 Flatlands Ave., New York, NY 11236",40.633646,-73.915609,NA,NA
McDonald's,www.mcdonalds.com,"541 6th Ave., New York, NY 10011",40.7377899,-73.9967272,2.6,1
McDonald's,www.mcdonalds.com,"4259 Broadway, New York, NY 10033",40.8501658,-73.936147,2.5,1
McDonald's,www.mcdonalds.com,"839 Westche Ster Ave., New York, NY 10455",40.8196782,-73.902012,NA,1
McDonald's,www.mcdonalds.com,"5201 Broadway, New York, NY 10463",40.8748245,-73.9101472,NA,1
McDonald's,www.mcdonalds.com,"136 W. 3rd St., New York, NY 10012",40.730751,-74.001095,NA,1
McDonald's,www.mcdonalds.com,"27 3rd Ave, New York, NY 10003",40.7295826,-73.9893222,2.5,1
McDonald's,www.mcdonalds.com,"341 5th Ave., New York, NY 10016",40.747948,-73.984514,3.3,NA
McDonald's,www.mcdonalds.com,"1286 1st Ave., New York, NY 10021",40.765887,-73.956951,3.2,1
McDonald's,www.mcdonalds.com,"280 Madison Ave., New York, NY 10016",40.7514577,-73.980451,NA,1
McDonald's,www.mcdonalds.com,"735 9th Ave., New York, NY 10019",40.763471,-73.9893589,NA,1
McDonald's,www.mcdonalds.com,"148 W. 125th Street, New York, NY 10029",40.808428,-73.947792,NA,1
Olive Garden,http://www.olivegarden.com/,"696 Avenue Of The Americas, New York, NY, 10010",40.7421338,-73.993234,3.1,2
Olive Garden,http://www.olivegarden.com/,"2 Times Square, New York, NY, 10036",40.7596814,-73.9847235,3.3,2
Orange Julius,http://www.orangejulius.com/,"54 W. 14th street, New York, NY, 10011",40.736796,-73.9962539,NA,1
Orange Leaf Yogurt,http://orangeleafyogurt.com/,"526 Amsterdam Avenue, New York, NY",40.7872621,-73.9753834,NA,2
Orange Leaf Yogurt,http://orangeleafyogurt.com/,"1467 Third Ave, New York, NY",40.776601,-73.955231,NA,2
Orange Leaf Yogurt,http://orangeleafyogurt.com/,"608 2nd Ave, New York, NY",40.7443902,-73.9761442,NA,2
